Yapı Adı,Bilgi
Kilitbahir Kalesi, Çanakkale Boğazı’nın en dar noktasında, Eceabat ilçesine bağlı Kilitbahir köyünde yer alan stratejik bir savunma yapısıdır.
Kale, Osmanlı padişahı Fatih Sultan Mehmed tarafından 1463–1464 yılları arasında yaptırılmıştır.
Yapı, İstanbul’un fethinden sonra boğaz güvenliğini sağlamak ve olası bir Haçlı donanmasının İstanbul’a ulaşmasını engellemek amacıyla inşa edilmiştir.
Kalenin ismi “denizin kilidi” anlamına gelen Kilitbahir kelimesinden gelir ve boğazı kontrol etme işlevine işaret eder.
Kale, üçgen formda tasarlanmış dış surlar ve ortasında yükselen yuvarlak planlı büyük bir iç kule (başkule) ile dikkat çeker.
Kalenin mimarisi, askerî savunmayı güçlendirmek için iç içe geçmiş çok katmanlı bir sistemle oluşturulmuştur.
İç kule (başkule) yaklaşık 30 metre yüksekliğindedir ve dönemin ileri savunma mimarisinin bir örneğidir.
Kale, Çanakkale Savaşları sırasında da aktif olarak kullanılmış ve boğaz savunmasında önemli bir rol üstlenmiştir.
Kanuni Sultan Süleyman döneminde kaleye ek takviyeler ve restorasyonlar yapılmış, savunma gücü artırılmıştır.
Kalenin karşısında, boğazın Anadolu yakasında bulunan Kale-i Sultaniye (Çimenlik Kalesi) ile birlikte çift taraflı savunma sistemi oluşturur.
Yapı, günümüzde restore edilerek ziyarete açılmış olup, Çanakkale Boğazı’nın tarihî savunma yapıları arasında en iyi korunan örneklerden biridir.
Kalenin üst terasları, boğaz manzarası ve tarihi dokusuyla ziyaretçilerin yoğun ilgi gösterdiği alanlardır.
