Soru;A;B;C;D;Dogru
Book nedir?;Kalem;Defter;Kitap;Silgi;3
Teacher ne demektir?;Doktor;Öğretmen;Şoför;Çiftçi;2
House kelimesinin anlamı hangisidir?;Okul;Ev;Sınıf;Kapı;2
Dog kelimesinin anlamı nedir?;Kedi;Köpek;Kuş;Tavşan;2
Cold ne anlama gelir?;Soğuk;Sıcak;Islak;Kuru;1
Chair aşağıdakilerden hangisidir?;Sandalye;Masa;Lamba;Kapı;1
Jump ne demektir?;Oturmak;Zıplamak;Yazmak;İçmek;2
Small ne anlama gelir?;Büyük;Küçük;Hızlı;Yavaş;2
Doctor ne demektir?;Öğretmen;Doktor;Aşçı;İşçi;2
School kelimesinin anlamı nedir?;Ev;Okul;Park;Bahçe;2
Hot ne anlama gelir?;Sıcak;Soğuk;Temiz;Kirli;1
Table ne demektir?;Lamba;Yatak;Masa;Pencere;3
Beautiful ne demektir?;Çirkin;Güzel;Yaşlı;Zayıf;2
Young ne demektir?;Yaşlı;Genç;Uzun;Kısa;2
Old ne demektir?;Yeni;Genç;Yaşlı;Hızlı;3
Ugly ne demektir?;Güzel;Temiz;Çirkin;Uzun;3
Hungry ne demektir?;Tok;Aç;Susuz;Yorgun;2
Short ne demektir?;Uzun;Kısa;Geniş;Kalın;2
Long ne demektir?;Kısa;Dar;Uzun;Zayıf;3
Thin ne demektir?;Şişman;Kalın;Uzun;Zayıf;4
Thick ne demektir?;İnce;Uzun;Kalın;Kısa;3
Tall ne demektir?;Uzun;Kısa;Şişman;Zayıf;1
Duck ne demektir?;Tavuk;Ördek;Kuş;Hindi;2
Dark ne demektir?;Aydınlık;Parlak;Karanlık;Açık;3
Blonde ne demektir?;Siyah saçlı;Esmer;Sarışın;Kızıl;3
Snake ne demektir?;Kedi;Yılan;Köpek;Kuş;2
Turtle ne demektir?;Timsah;Kurbağa;Kaplumbağa;Balık;3
Hair ne demektir?;Göz;Saç;Burun;Kulak;2
Eyes ne demektir?;Gözler;Kulaklar;Eller;Ayaklar;1
Bird ne demektir?;Balık;Kuş;Kedi;At;2
Nose ne demektir?;Ağız;Kulak;Burun;Göz;3
Window ne demektir?;Kapı;Duvar;Pencere;Tavan;3
Vegetable ne demektir?;Meyve;Sebze;Et;İçecek;2
Pencil Case ne demektir?;Okul çantası;Kalem;Kalem kutusu;Defter;3
Calculator ne demektir?;Bilgisayar;Saat;Hesap makinesi;Telefon;3
Smartwatch ne demektir?;Duvar saati;Kol saati;Akıllı saat;Çalar saat;3
