Nicomedia Limanı, Roma ve Bizans dönemlerinde Doğu Akdeniz’in en önemli ticaret ve donanma limanlarından biriydi.

Liman, İzmit Körfezi’nin doğal bir koy olan en iç kısmında konumlanıyordu.

Kent, M.Ö. 264’te kurulduğunda liman, kurucusu Kral I. Nikomedes tarafından kullanılabilir hale getirilmişti.

Roma döneminde Diocletianus tarafından Nicomedia başkent yapıldığında liman imparatorluk filosunun merkezi hâline geldi.

Liman; Orta Doğu, Ege, Karadeniz ve Balkanlar arasında aktarma noktası işlevi görüyordu.

Nicomedia Limanı, hem ticaret limanı hem de askeri üs limanı olarak kullanılmıştır.

Liman sayesinde şehir, Roma İmparatorluğu’nun Doğu eyaletleriyle hızlı bir şekilde bağlantı kurabiliyordu.

Kentin saray kompleksi, tersaneler ve depolar limanın hemen yakınında yer alıyordu.

Liman çevresinde, şehrin ihtiyaçlarını karşılamak üzere büyük ambarlar (horrea) bulunuyordu.

İzmit Körfezi’nin doğal yapısı nedeniyle liman, yıl boyunca sakin ve güvenli bir deniz yüzeyi sağlıyordu.

Antik kaynaklarda, Nicomedia Limanı’nın fırtınalara karşı korunaklı liman olarak anıldığı geçer.

Roma döneminde limanda yolcu taşımacılığı ve yük gemileri için iki ayrı iskele hattı olduğu düşünülüyor.

Nicomedia Limanı’nın girişinde deniz feneri (pharos) olduğu tahmin edilmektedir.

Liman kenti çevreleyen büyük sur sistemleri, limanı da koruyan şekilde tasarlanmıştı.

Limana ait bazı kalıntılar günümüzde modern İzmit yapılaşmasının altında kalmış durumdadır.

Yapılan su altı araştırmaları, liman çevresinde antik tonozlar, duvarlar ve rıhtım taşları tespit etmiştir.

Depremler (özellikle M.S. 358, 362 ve 740) nedeniyle limanın bazı bölümleri deniz altında çökmüştür.

Liman aynı zamanda İmparatorluk İtfaiye Filosunun (Classis Urbica) doğu merkezlerinden biriydi.

Nicomedia Limanı, İstanbul’daki Theodosius Limanı’ndan önce bölgenin en büyük kentsel liman yapılarından biriydi.

Limandan çıkan ticari mallar arasında şarap, zeytinyağı, seramik, cam ürünleri ve tahıl bulunuyordu.

Limana özellikle Suriye, Mısır ve Anadolu içlerinden gelen mallar taşınıyordu.

Liman çevresi, ticari hayatın çok canlı olduğu bir pazar ve depolama bölgesi olarak biliniyordu.

Roma döneminde liman yakınında liman işçileri için ayrılmış yerleşim alanları vardı.

Liman, su kemerleri ve kanallar aracılığıyla şehrin altyapı sistemiyle bütünleşik şekilde çalışıyordu.

Bazı tarihçilere göre liman, Diocletianus’un büyük idari yapılarıyla birlikte antik dünyanın en gelişmiş lojistik merkezlerinden biri idi.

Bizans döneminde liman, İstanbul’a coğrafi yakınlığı nedeniyle stratejik bir aktarma limanı olarak önemini korudu.

Arap akınları döneminde liman askeri donanmaların toplanma noktası olarak kullanıldı.

Osmanlı döneminde liman, eski kimliğini büyük ölçüde kaybetse de bölge yine bir ticaret iskelesi olarak hizmet verdi.

Günümüzde limanın bulunduğu alan, İzmit modern kıyı çizgisi altında arkeolojik sit olarak değerlendirilmektedir.

Nicomedia Limanı üzerine yapılan kazı ve su altı araştırmalarının artmasıyla, gelecekte antik limanın daha fazla bölümü gün ışığına çıkarılmayı beklemektedir.
